id_acreditado,ciclo,monto,dias_mora,pct_mora,plazo_meses
1747,1,21068.16,18,18.29,12.0
1245,1,10534.08,296,159.67,6.0
1741,1,10534.08,88,64.93,12.0
1307,3,21068.16,0,0.0,12.0
4287,1,12640.89,0,0.0,12.0
1056,1,26335.190000000002,437,112.96,12.0
1582,1,10534.08,0,5.54,12.0
1277,1,10534.08,0,0.0,12.0
1173,1,210681.55000000002,0,0.0,24.0
1314,1,10534.08,0,0.0,12.0
1570,1,5267.04,123,146.06,5.52
1101,1,21068.16,102,74.2,12.0
1079,2,44243.13,24,15.22,12.0
1076,1,31602.23,203,31.49,12.0
1061,1,84272.62,245,45.63,15.0
1280,1,10534.08,190,145.04,12.0
1275,1,6320.45,129,37.29,6.0
1316,1,5267.04,156,109.73,5.52
1257,1,5267.04,289,200.95,6.0
1339,1,5267.04,134,86.35,6.0
1270,1,7373.85,284,198.86,6.0
1272,1,10534.08,101,76.36,12.0
1016,1,136943.01,589,32.67,12.0
1069,1,15000.0,564,115.08,6.0
1145,2,14000.0,212,86.04,12.0
1124,3,12000.0,0,0.0,6.0
1121,2,26335.190000000002,0,0.0,12.0
1503,2,10534.08,1,29.94,6.0
4738,1,30000.0,0,0.0,6.0
1265,2,12640.89,2,4.44,12.0
1328,1,15801.12,0,0.0,12.0
4227,1,5267.04,0,0.0,6.0
3040,4,101083.63,0,0.0,1.0
1345,2,9480.67,0,0.0,5.52
1532,2,10534.08,0,0.0,12.0
1351,2,7373.85,0,0.0,6.0
1359,2,10534.08,0,0.0,12.0
1614,2,10534.08,0,0.0,6.0
1423,1,210000.0,182,150.29,3.0
1249,1,250000.0,0,0.0,12.0
1371,1,300000.0,0,0.0,12.0
1287,1,21068.16,4,18.58,12.0
1395,2,7373.85,0,0.0,5.52
1686,2,8427.26,0,0.0,5.52
3639,2,5000.0,0,9.63,2.53
3324,1,5267.04,0,0.0,6.0
1074,3,8427.26,79,71.2,6.0
1300,1,10534.08,120,103.13,12.0
1358,2,8427.26,63,94.61,6.0
1518,1,10534.08,108,72.2,12.0
1548,1,5267.04,136,152.4,5.52
1166,1,15801.12,158,108.31,12.0
1276,1,21068.16,37,37.17,12.0
1384,1,31602.23,0,0.0,12.0
1717,2,7373.85,30,60.24,6.0
1252,1,7373.85,0,0.0,12.0
1263,1,15801.12,102,64.14,12.0
1196,2,368692.72000000003,0,0.0,12.0
1685,1,10534.08,57,27.16,12.0
3824,2,50000.0,0,0.0,6.0
1083,4,30000.0,0,0.0,6.0
2369,2,10000.0,0,0.0,6.0
3824,3,170000.0,4,5.0,4.0
2648,1,30000.0,0,0.0,6.0
1364,2,15801.12,0,0.0,12.0
1370,2,7373.85,0,0.0,5.52
1388,2,42136.31,0,0.0,6.0
1392,2,8427.26,0,0.0,5.52
1405,1,10534.08,141,78.89,6.0
1338,1,15801.12,39,34.67,12.0
1427,1,21068.16,14,18.64,12.0
1609,1,21068.16,60,46.08,12.0
1460,1,21068.16,0,0.0,12.0
1336,1,21068.16,193,129.8,12.0
1449,2,26335.190000000002,95,86.41,6.0
1368,1,5267.04,108,16.61,5.52
5194,1,30000.0,0,0.0,6.0
